MQ_NetStat_Limit_False ACTIVE  *IF *VALUE K22_UNIVERSALEVENT_LOG.Value1Attr *EQ 'NO'
MDW_IE_SSO_01 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 1011 *AND *VALUE NT_Event_Log.Source *EQ W3SVC *AND *VALUE NT_Event_Log.Type *EQ Error ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10515 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO *AND *VALUE NT_Event_Log.Type *EQ Error ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10590 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO *AND *VALUE NT_Event_Log.Type *EQ Error ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_IE_SSO_02 ACTIVE  *IF *VALUE NT_Event_Log.Source *EQ NETLOGON *AND *VALUE NT_Event_Log.Event_ID *EQ 5719 *AND *SCAN NT_Event_Log.Server_Name *NE SRVSWT *UNTIL ( *TTL 1:00:00:00 )
MDW_PmcSQL_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 2001 *AND *VALUE NT_Event_Log.Source *EQ 'Pmc Regularizer (service)' *AND *VALUE NT_Event_Log.Log_Name *EQ 'Pmc Regularizer'
MDW_BEStateBTS_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10 *AND *VALUE NT_Event_Log.Source *EQ 'Enterprise Library Data Service' *AND *SCAN NT_Event_Log.Description *EQ 'Data connection failed to open: database' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5410 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5773 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 6912 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 6913 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) ) *UNTIL ( *TTL 1:00:00:00 )
NT_HDW_HP_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Log_Name *EQ System *AND ( ( ( *VALUE NT_Event_Log.Source *EQ 'Server Agents' *AND *VALUE NT_Event_Log.Type *NE Information ) *OR ( *VALUE NT_Event_Log.Source *EQ cpqasm2 *AND *VALUE NT_Event_Log.Type *NE Information ) ) ) ) *OR ( *VALUE NT_Event_Log.Log_Name *EQ System *AND *VALUE NT_Event_Log.Source *EQ 'HP Ethernet' *AND *VALUE NT_Event_Log.Type *NE Information ) ) *UNTIL ( *TTL 2:00:15:00 )
MDW_IE_WB_02 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10034 *AND *VALUE NT_Event_Log.Source *EQ 'XLANG/s' *AND *SCAN NT_Event_Log.Description *EQ SerializationException ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5743 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'The adapter failed to transmit' ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_DC_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 0 *AND *SCAN NT_Event_Log.Description *EQ 'The server is not operational' *AND *VALUE NT_Event_Log.Source *EQ IM *AND *VALUE NT_Event_Log.Log_Name *EQ 'Pmc.Notification.Service'
NT_MP_IBM_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 32 *AND *VALUE NT_Event_Log.Source *EQ mpio ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5 *AND *VALUE NT_Event_Log.Source *EQ sdddsm ) ) *UNTIL ( *TTL 0:23:15:00 )
MDW_TO_MQ_03 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQSeries' *UNTIL ( *TTL 1:00:00:00 )
MDW_Schema_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 10100 *AND *VALUE NT_Event_Log.Source *EQ Pmc *AND *SCAN NT_Event_Log.Description *EQ 'Stack Trace'
NT_Memory_Fatal_MEP4 ACTIVE  *IF *VALUE NT_Memory.Available_kBytes *LE 512000 *AND *VALUE NT_Memory.Available_kBytes *GT 0 *AND *VALUE NT_Memory.Server_Name *EQ 'Primary:PSRMEP04:NT'
MDW_TO_BTS_02 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5683 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *UNTIL ( *TTL 1:00:00:00 )
NT_Memory_Critical_MEP4 ACTIVE  *IF *VALUE NT_Memory.Available_kBytes *LT 512000 *AND *VALUE NT_Memory.Available_kBytes *GT 750000 *AND *VALUE NT_Memory.Server_Name *EQ 'Primary:PSRMEP04:NT'
MDW_IE_MQ_04 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 9259 *AND *VALUE NT_Event_Log.Source *EQ 'WebSphere MQ' *AND *VALUE NT_Event_Log.Description *EQ 'Connection timed out from host'
MDW_TO_MQ_04 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 1069 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 256 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 260 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 262 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 264 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5754 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) )
MDW_IE_SSO_03 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 32 *AND *VALUE NT_Event_Log.Source *EQ mpio ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5 *AND *VALUE NT_Event_Log.Source *EQ sdddsm ) ) *UNTIL ( *TTL 0:23:15:00 )
MDW_IE_SSO_04 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 11 *AND ( ( ( *VALUE NT_Event_Log.Source *EQ Disk ) *OR ( *VALUE NT_Event_Log.Source *EQ arcsas ) ) ) ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 153 *AND *VALUE NT_Event_Log.Source *EQ disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 157 *AND *VALUE NT_Event_Log.Source *EQ disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 24597 *AND *VALUE NT_Event_Log.Source *EQ Cissesrv ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 57 *AND *VALUE NT_Event_Log.Source *EQ Ftdisk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 7 *AND *VALUE NT_Event_Log.Source *EQ Disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 9 *AND *VALUE NT_Event_Log.Source *EQ adpu160m ) ) *UNTIL ( *TTL 0:23:00:00 )
MDW_TO_BTS_01 ACTIVE  *IF *VALUE NT_Event_Log.Source *EQ DCOM *AND *VALUE NT_Event_Log.Event_ID *EQ 100009
MDW_IE_SSO_05 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10504 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10505 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10515 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_Kerberos_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 40960
MDW_BizTalk_INT ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQS://PSRMQS/MQBPN/INT.OUT'
